iter	Passed	Remaining
237	314	1006
238	314	1002
239	315	998
240	316	995
241	316	991
242	317	988
243	317	984
244	318	981
245	319	978
246	319	974
247	320	971
248	320	967
249	321	965
250	322	961
251	323	958
252	323	955
253	324	952
254	324	949
255	325	946
256	326	943
257	326	940
258	327	937
259	328	934
260	329	931
261	329	928
262	330	925
263	331	922
264	331	919
265	332	917
266	332	914
267	333	911
268	334	908
269	334	905
270	335	902
271	336	899
272	336	896
273	337	894
274	338	892
275	339	889
276	339	886
277	340	884
278	341	881
279	342	879
280	342	877
281	343	874
282	344	872
283	344	869
284	345	867
285	346	864
286	347	862
287	347	859
288	348	857
289	349	854
290	349	851
291	350	849
292	350	846
293	351	844
294	352	841
295	353	839
296	353	837
297	354	835
298	355	832
299	355	830
300	356	827
301	357	825
302	357	823
303	358	820
304	358	818
305	359	815
306	360	813
307	360	811
308	361	808
309	362	806
310	362	803
311	363	801
312	363	798
313	364	796
314	365	794
315	365	791
316	366	789
317	367	787
318	367	785
319	368	783
320	369	781
321	370	779
322	370	776
323	371	774
324	371	772
325	372	770
326	373	767
327	373	765
328	374	763
329	375	761
330	375	759
331	376	757
332	376	755
333	377	753
334	378	750
335	378	748
336	379	746
337	379	744
338	380	741
339	381	739
340	381	737
341	382	735
342	383	734
343	384	732
344	384	730
345	385	728
346	385	726
347	386	723
348	386	721
349	387	719
350	388	717
351	388	715
352	389	713
353	390	711
354	390	710
355	391	707
356	391	705
357	392	704
358	393	702
359	393	700
360	394	698
361	395	696
362	395	694
363	396	692
364	396	690
365	397	688
366	398	687
367	399	685
368	399	683
369	400	681
370	401	680
371	401	678
372	402	676
373	402	674
374	403	672
375	404	670
376	404	668
377	405	667
378	406	665
379	406	663
380	407	661
381	407	659
382	408	657
383	408	656
384	409	654
385	410	652
386	410	650
387	411	648
388	411	646
389	412	645
390	413	643
391	413	642
392	414	640
393	415	639
394	416	637
395	416	635
396	417	634
397	418	632
398	419	631
399	419	629
400	420	627
401	420	626
402	421	624
403	422	622
404	422	621
405	423	619
406	423	617
407	424	615
408	424	614
409	425	612
410	426	610
411	426	608
412	427	607
413	428	605
414	428	604
415	429	603
416	430	601
417	430	600
418	431	598
419	432	596
420	432	595
421	433	593
422	434	592
423	434	590
424	435	589
425	436	587
426	436	585
427	437	584
428	437	582
429	438	581
430	439	579
431	439	578
432	440	576
433	440	575
434	441	573
435	442	572
436	442	570
437	443	569
438	444	567
439	445	566
440	445	564
441	446	563
442	446	561
443	447	560
444	448	558
445	448	557
446	449	555
447	449	554
448	450	552
449	451	551
450	451	549
451	452	548
452	452	546
453	453	545
454	454	543
455	454	542
456	455	540
457	455	539
458	456	537
459	457	536
460	457	534
461	458	533
462	458	532
463	459	531
464	460	529
465	460	528
466	461	526
467	462	525
468	462	524
469	463	522
470	464	521
471	464	519
472	465	518
473	465	517
474	466	515
475	467	514
476	467	512
477	468	511
478	469	510
479	469	508
480	470	507
481	470	505
482	471	504
483	471	503
484	472	501
485	473	500
486	473	499
487	474	497
488	475	496
489	475	495
490	476	494
